V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121,V122,V123,V124,V125,V126,V127,V128,V129,V130,V131,V132,V133,V134,V135,V136,V137,V138,V139,V140,V141,V142,V143,V144,V145,V146,V147,V148,V149,V150,V151,V152,V153,V154,V155,V156,V157,V158,V159,V160,V161,V162,V163,V164,V165,V166,V167,V168,V169,V170,V171,V172,V173,V174,V175,V176,V177,V178,V179,V180,V181,V182,V183,V184,V185,V186,V187,V188,V189,V190,V191,V192,V193,V194,V195,V196,V197,V198,V199,V200,V201,V202,V203,V204,V205,V206,V207,V208,V209,V210,V211,V212,V213,V214,V215,V216,V217,V218,V219,V220,V221,V222,V223,V224,V225,V226,V227,V228,V229,V230,V231,V232,V233,V234,V235,V236,V237,V238,V239,V240,V241,V242,V243,V244,V245,V246,V247,V248,V249,V250,V251,V252,V253,V254,V255,V256,V257,V258,V259,V260,V261,V262,V263,V264,V265,V266,V267,V268,V269,V270,V271,V272,V273,V274,V275,V276,V277,V278,V279,V280,V281,V282,V283,V284,V285,V286,V287,V288,V289,V290,V291,V292,V293,V294,V295,V296,V297,V298,V299
174,140,136,155,135,165,151,133,122,124,135,138,140,124,151,128,122,135,128,117,120,143,104,122,109,122,120,124,109,117,122,140,128,102,136,117,124,122,117,135,124,136,120,136,133,137,130,152,149,154,137,144,162,164,140,152,144,175,153,150,169,170,177,170,180,175,179,170,151,152,171,179,180,155,152,171,152,180,180,171,185,179,186,152,180,180,179,180,179,162,151,173,180,195,180,177,197,179,177,185,159,180,171,186,193,185,185,180,180,155,186,195,180,179,186,164,179,179,180,170,164,152,170,140,151,164,152,150,170,159,133,143,144,140,150,152,151,135,149,160,164,155,152,151,185,170,159,180,180,174,152,180,172,171,171,180,171,180,162,185,193,185,180,170,179,164,174,183,180,180,187,195,177,182,180,180,195,197,180,195,195,197,185,195,200,180,180,179,197,185,198,193,177,198,180,195,182,193,180,180,183,197,193,192,180,195,197,177,187,193,175,186,180,179,197,197,197,195,195,195,192,197,170,174,195,193,195,200,191,179,180,180,195,197,193,186,193,180,180,185,195,197,197,198,180,192,180,200,179,193,197,186,195,179,180,195,193,197,194,179,180,193,195,185,197,197,182,185,180,195,186,195,193,200,182,183,180,183,195,180,180,169,197,197,179,180,173,186,180,195,185,164,172,151,179,155,151,137,133
152,152,171,152,144,143,149,143,128,137,128,136,149,117,122,120,144,124,120,130,135,151,151,124,130,122,120,128,120,109,140,128,124,144,120,120,140,128,120,152,135,149,128,152,124,138,138,164,152,130,159,133,164,151,152,160,152,164,177,151,152,180,151,170,172,182,180,180,173,175,164,162,180,151,180,170,179,164,169,160,180,177,179,174,185,174,182,171,195,193,164,154,164,186,171,164,193,180,195,174,170,159,195,164,174,193,175,172,180,193,174,195,180,172,180,195,171,183,155,155,174,164,139,149,151,149,152,160,152,151,152,179,171,151,173,172,171,151,149,179,169,179,171,163,164,179,186,170,179,164,183,186,186,195,177,170,152,169,183,182,180,187,180,179,180,179,182,186,195,179,180,177,179,180,195,195,200,185,198,179,186,180,193,182,179,179,186,170,180,195,171,183,180,195,180,197,180,185,175,179,182,198,197,197,171,179,197,193,197,182,198,186,195,179,179,180,186,180,177,195,187,180,186,195,182,197,195,193,200,195,195,179,179,188,179,179,197,179,182,187,195,195,182,182,195,180,197,179,195,180,200,179,180,200,193,179,183,195,195,195,179,186,180,200,197,186,186,179,200,191,183,179,185,200,192,188,175,171,177,171,182,170,179,175,177,191,195,195,180,165,183,164,160,150,169,152,149,149,128
152,164,151,140,140,128,152,137,136,150,130,139,152,143,109,138,136,143,130,140,135,112,136,122,144,112,124,140,135,120,135,138,149,124,135,140,127,128,128,135,143,152,140,144,138,144,152,179,153,171,153,144,155,152,159,172,149,160,152,170,182,152,186,174,173,179,179,174,180,173,157,177,174,195,169,160,174,170,173,171,177,171,164,172,195,170,171,186,152,180,182,180,180,179,177,193,164,170,165,180,152,165,179,177,179,151,175,180,151,164,179,171,180,170,170,182,180,180,165,164,182,162,151,171,179,135,164,135,152,150,160,135,160,159,153,152,164,180,170,179,180,180,171,171,169,175,174,179,164,180,195,180,197,179,180,180,179,169,183,198,193,197,200,171,180,193,177,195,195,160,179,194,182,186,195,187,177,195,197,179,179,200,193,180,195,200,193,186,200,194,180,182,197,200,200,195,193,197,197,195,180,186,191,180,191,187,185,182,185,169,179,182,195,180,193,198,182,200,193,186,197,197,195,186,177,185,180,200,193,193,185,179,182,197,193,200,192,197,180,193,192,193,171,193,198,180,183,180,197,197,186,185,193,182,185,185,180,198,193,200,197,195,179,185,197,191,179,185,195,198,195,180,180,193,198,195,164,193,186,170,180,164,182,186,180,180,172,193,185,160,180,180,180,171,164,165,153,152,135
149,139,144,151,137,135,128,120,136,144,133,128,152,96,128,128,152,152,144,138,152,149,135,96,104,96,128,92,117,117,138,152,135,137,133,155,120,133,164,151,143,150,130,157,133,149,155,143,135,135,144,158,169,151,179,155,135,180,150,180,179,164,164,180,174,169,185,170,174,174,177,172,194,170,174,177,164,185,174,182,195,159,170,197,182,182,177,193,182,177,174,186,177,179,197,172,173,173,180,164,152,152,171,180,174,179,159,179,182,197,170,152,170,177,150,152,152,172,180,174,180,152,154,180,150,151,154,128,144,144,152,143,153,170,152,135,144,179,144,151,173,182,187,197,185,170,177,180,175,152,179,171,165,174,182,193,186,185,180,170,191,164,177,180,195,171,172,179,171,170,185,185,197,174,183,200,193,200,193,197,198,200,192,197,174,195,191,182,182,197,197,179,200,193,185,194,195,171,197,195,195,185,200,195,195,179,195,177,172,197,195,180,180,195,195,200,180,200,198,200,179,186,197,174,179,186,194,200,186,197,197,182,200,191,180,185,195,169,194,183,195,193,192,172,185,195,182,193,195,197,182,183,183,197,192,191,200,195,187,186,192,193,180,185,180,194,174,192,198,197,174,182,185,179,183,197,193,186,187,170,195,180,177,193,195,170,177,182,179,174,151,183,182,152,177,143,140,155,128
162,143,135,138,160,149,133,157,150,138,135,140,122,102,135,120,152,133,135,120,138,133,128,124,130,102,133,135,130,120,133,152,152,128,122,159,133,130,152,170,151,122,122,144,157,165,151,143,157,135,135,180,152,144,170,169,152,165,170,158,171,164,195,155,170,164,182,182,164,153,169,151,174,180,162,171,173,179,172,195,186,170,180,164,174,169,179,195,152,179,179,195,160,195,182,151,195,169,179,197,183,175,185,180,172,195,164,149,174,170,152,171,152,165,182,162,164,185,171,182,179,172,169,135,180,149,157,151,144,157,144,170,159,165,164,151,171,180,155,172,180,163,170,180,172,180,183,177,193,185,169,195,172,177,159,195,195,194,171,188,179,170,180,195,182,195,185,180,180,193,182,187,195,197,179,170,186,180,197,195,188,177,193,179,180,186,198,188,185,197,195,177,183,195,182,197,170,186,197,195,182,193,185,177,195,186,180,180,179,195,187,197,197,177,195,185,197,193,197,185,164,192,200,200,179,180,200,193,183,186,198,195,180,180,186,182,195,186,198,180,186,197,191,192,195,197,179,180,198,186,191,192,195,198,197,185,193,197,186,185,198,195,197,182,177,187,193,185,180,193,171,197,200,195,186,195,179,197,179,174,180,188,197,197,180,186,195,177,179,170,182,171,174,180,155,151,140,135,136
140,154,155,160,133,144,150,152,151,138,128,137,144,144,124,120,120,135,133,111,128,136,151,135,128,116,137,96,122,128,128,136,140,149,133,128,151,140,144,138,152,149,154,135,162,151,152,159,152,162,164,152,157,171,164,179,153,160,180,158,177,182,179,186,144,149,172,197,186,164,182,186,160,182,195,195,195,180,179,197,180,170,179,172,193,185,175,170,180,197,153,171,197,152,174,193,183,174,186,195,164,182,180,149,155,186,185,180,160,155,172,155,160,169,151,159,151,170,174,170,170,152,164,157,177,149,152,117,128,137,152,158,136,165,171,172,160,186,171,195,185,180,180,185,197,195,169,180,170,180,164,187,170,169,175,173,152,180,182,175,173,173,186,179,171,195,193,200,186,197,186,170,195,180,197,185,172,180,197,195,180,180,195,195,187,193,200,177,195,195,197,182,193,180,180,183,177,193,180,179,186,193,180,179,171,186,182,192,197,170,195,183,197,193,186,182,179,193,175,185,180,171,179,193,195,170,186,195,185,197,180,198,179,180,185,195,179,186,197,193,177,192,179,187,197,197,182,193,186,197,198,179,193,180,197,180,197,193,200,188,195,195,195,197,193,188,182,193,183,193,194,187,200,197,170,195,191,195,174,180,180,195,179,195,197,195,180,171,198,174,173,186,187,170,149,158,170,152,138
151,133,164,138,152,172,120,150,155,120,116,152,136,112,130,128,109,138,104,109,120,135,117,135,135,102,117,135,135,120,139,144,149,136,122,128,116,135,120,135,133,164,152,159,151,150,154,170,152,151,151,179,133,151,149,151,162,158,177,182,152,169,177,177,180,179,175,180,195,186,197,200,182,174,187,179,193,164,180,164,165,171,200,197,180,173,179,187,164,160,171,169,175,164,179,170,182,171,186,162,164,152,155,158,162,152,180,177,179,164,164,180,172,169,170,174,155,152,164,155,152,144,179,155,183,151,138,180,136,155,164,180,169,180,164,173,179,162,180,170,170,195,187,183,185,179,175,179,197,180,186,180,179,185,193,170,179,186,195,151,152,185,152,186,179,198,164,195,174,179,193,182,179,180,182,170,195,177,194,182,193,195,170,171,193,197,193,192,185,180,198,179,198,193,191,197,197,172,185,192,180,177,186,197,180,185,198,185,195,193,180,198,171,186,185,179,182,195,195,195,183,197,183,180,193,188,188,197,175,185,182,193,193,187,198,193,195,197,186,180,195,180,179,180,195,185,183,180,193,186,179,180,186,179,197,200,186,198,195,180,179,195,195,182,186,200,195,180,195,200,186,197,186,195,193,177,182,197,197,171,186,195,182,164,180,193,180,197,185,172,152,180,179,151,153,162,149,144,124
144,128,153,152,124,130,128,144,149,116,151,128,109,117,133,122,138,122,128,122,120,128,122,122,116,128,124,124,135,120,152,144,140,135,124,138,109,164,143,135,149,157,130,180,164,179,155,170,177,157,151,144,155,150,159,144,143,160,187,172,180,174,180,169,183,197,170,180,177,177,195,180,157,173,179,170,151,197,180,182,193,183,162,195,197,182,194,186,180,151,197,183,170,149,173,164,169,186,152,179,174,171,186,180,173,182,154,144,160,180,180,171,154,155,179,152,159,140,165,179,164,150,174,143,174,153,140,164,138,153,152,153,170,155,152,160,195,150,162,186,179,179,162,186,193,171,169,179,195,171,172,179,165,171,179,191,197,179,180,185,180,182,183,182,193,186,182,180,197,195,185,179,177,180,193,185,186,198,193,197,187,185,185,186,182,180,186,195,180,185,193,197,180,200,179,195,198,179,200,195,187,188,180,197,195,193,170,200,185,179,200,195,195,180,180,170,180,193,193,191,195,191,191,193,179,194,197,193,179,179,197,195,177,200,193,195,195,174,179,180,180,195,195,194,185,193,197,197,182,173,195,195,179,195,195,186,195,187,179,185,179,170,197,186,185,183,183,197,180,195,193,164,179,195,197,179,172,173,171,185,186,185,179,183,182,151,177,183,186,185,179,180,152,170,152,160,140,159,152
179,144,140,144,149,128,150,135,117,130,133,104,135,124,139,133,136,124,133,117,120,92,110,140,120,133,130,120,143,111,138,138,151,122,128,149,136,157,155,154,160,150,169,144,152,185,165,169,152,170,180,164,152,165,143,163,152,152,170,182,171,174,182,180,170,193,180,180,183,180,175,195,164,193,152,195,164,162,158,152,177,171,195,195,180,169,179,179,175,165,186,180,185,172,170,177,182,153,151,182,180,171,160,152,170,170,151,159,195,170,163,164,173,175,160,171,174,180,160,164,180,169,180,173,159,144,144,170,158,172,151,171,143,164,177,180,172,157,165,177,171,182,187,170,193,155,182,185,174,186,195,179,197,187,164,177,163,195,177,171,180,186,180,180,180,200,170,195,185,174,192,193,195,182,197,193,187,198,197,193,186,185,193,197,200,180,197,200,180,179,179,197,195,195,195,197,183,180,197,197,179,187,177,195,170,179,180,180,195,179,200,185,197,174,191,200,195,193,197,185,179,185,198,186,200,180,180,177,179,200,179,200,185,191,197,182,193,182,164,194,185,179,182,179,185,198,195,192,195,191,191,180,197,187,180,193,195,175,174,193,180,183,198,197,200,198,191,180,171,195,185,180,191,186,185,193,183,186,182,195,177,177,186,191,180,197,182,195,174,193,163,197,185,170,179,162,143,149,139
152,180,165,160,130,135,144,138,144,152,140,120,117,96,96,120,136,104,116,144,120,117,133,143,133,128,151,130,124,144,135,135,164,152,143,133,133,130,144,140,152,149,171,162,152,165,157,158,171,171,151,140,179,170,152,151,172,164,179,170,185,185,182,193,186,172,164,165,170,197,170,185,162,180,195,179,173,171,169,195,170,179,185,165,180,177,187,171,185,173,172,179,180,152,170,187,171,180,162,170,128,170,159,157,186,162,171,174,180,155,152,177,162,164,150,151,180,144,149,144,174,152,171,172,162,170,170,133,157,162,135,133,136,149,150,171,171,151,180,177,182,164,182,180,164,170,170,180,179,177,193,183,185,186,180,170,180,182,180,197,197,164,195,177,174,180,195,163,195,180,185,180,180,177,198,200,180,191,197,183,180,194,179,197,177,200,191,195,198,192,197,193,186,192,170,180,182,186,198,197,198,200,186,198,186,183,200,180,197,170,192,185,182,197,197,179,200,195,193,197,179,198,197,171,179,186,195,198,193,197,180,185,195,192,185,191,171,191,183,191,193,197,186,197,179,197,198,195,182,187,194,197,180,179,193,194,191,180,193,200,180,193,197,192,187,186,182,197,200,200,177,197,180,192,187,193,185,180,164,180,180,180,179,195,185,195,186,180,165,174,164,159,177,152,171,140,149,155,135
