V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121,V122,V123,V124,V125,V126,V127,V128,V129,V130,V131,V132,V133,V134,V135,V136,V137,V138,V139,V140,V141,V142,V143,V144,V145,V146,V147,V148,V149,V150,V151,V152,V153,V154,V155,V156,V157,V158,V159,V160,V161,V162,V163,V164,V165,V166,V167,V168,V169,V170,V171,V172,V173,V174,V175,V176,V177,V178,V179,V180,V181,V182,V183,V184,V185,V186,V187,V188,V189,V190,V191,V192,V193,V194,V195,V196,V197,V198,V199,V200,V201,V202,V203,V204,V205,V206,V207,V208,V209,V210,V211,V212,V213,V214,V215,V216,V217,V218,V219,V220,V221,V222,V223,V224,V225,V226,V227,V228,V229,V230,V231,V232,V233,V234,V235,V236,V237,V238,V239,V240,V241,V242,V243,V244,V245,V246,V247,V248,V249,V250,V251,V252,V253,V254,V255,V256,V257,V258,V259,V260,V261,V262,V263,V264,V265,V266,V267,V268,V269,V270,V271,V272,V273,V274,V275,V276,V277,V278,V279,V280,V281,V282,V283,V284,V285,V286,V287,V288,V289,V290,V291,V292,V293,V294,V295,V296,V297,V298,V299,V300,V301,V302,V303,V304,V305,V306,V307,V308,V309,V310,V311,V312,V313,V314,V315,V316,V317,V318,V319,V320,V321,V322,V323,V324,V325,V326,V327,V328,V329,V330,V331,V332,V333,V334,V335,V336,V337,V338,V339,V340,V341,V342,V343,V344,V345,V346,V347,V348,V349,V350,V351,V352,V353,V354,V355,V356,V357,V358,V359,V360,V361,V362,V363,V364,V365,V366,V367,V368,V369,V370,V371,V372,V373,V374,V375,V376,V377,V378,V379,V380,V381,V382,V383,V384,V385,V386,V387,V388,V389,V390,V391,V392,V393,V394,V395,V396,V397,V398,V399,V400,V401,V402,V403,V404,V405,V406,V407,V408,V409,V410,V411,V412,V413,V414,V415,V416,V417,V418,V419,V420,V421,V422,V423,V424,V425,V426,V427,V428,V429,V430,V431,V432,V433,V434,V435,V436,V437,V438,V439,V440,V441,V442,V443,V444,V445,V446,V447,V448,V449,V450,V451,V452,V453,V454,V455,V456,V457,V458,V459,V460,V461,V462,V463,V464,V465,V466,V467,V468,V469,V470,V471,V472,V473,V474,V475,V476,V477,V478,V479,V480,V481,V482,V483,V484,V485,V486,V487,V488,V489,V490,V491,V492,V493,V494,V495,V496,V497,V498,V499
242,74,180,96,242,283,64,135,54,298,246,120,283,197,92,20,298,59,283,250,298,20,74,246,250,180,298,96,96,96,246,20,20,180,96,258,59,242,120,298,197,59,258,64,89,216,54,250,152,250,54,180,89,58,242,258,180,64,64,74,180,74,242,135,180,246,48,242,109,92,258,20,74,152,180,64,48,58,250,246,242,20,64,135,195,250,96,152,270,92,64,242,258,195,89,242,20,64,242,246,242,250,298,96,32,64,64,96,246,216,242,74,250,246,54,242,216,298,58,54,42,246,298,48,64,250,298,298,216,20,120,195,246,246,250,242,246,242,89,242,195,46,32,64,246,32,89,246,54,242,64,20,32,242,135,42,96,242,195,250,20,92,195,64,58,180,32,258,64,298,195,216,283,180,64,152,135,92,89,216,135,246,92,64,195,250,46,48,246,20,242,258,96,180,74,102,152,246,180,96,135,96,250,54,59,135,246,246,20,242,32,246,89,152,20,58,195,258,32,246,64,246,283,120,109,179,242,250,96,96,246,211,32,250,64,46,120,152,258,298,54,246,242,246,74,74,195,42,89,195,54,96,89,197,58,242,58,96,180,42,152,89,246,54,246,96,58,180,197,180,120,42,89,246,74,258,58,246,89,32,246,195,96,102,246,20,64,59,64,20,96,242,20,120,58,258,250,250,58,135,283,48,180,180,298,64,195,96,64,246,211,96,242,195,64,258,258,120,180,152,250,58,180,74,74,250,258,250,195,64,242,120,54,74,64,20,242,197,180,20,54,216,250,89,242,258,180,120,89,152,180,283,20,195,64,42,180,64,229,48,120,59,120,258,64,258,96,46,42,258,250,152,64,42,42,32,92,152,48,92,89,258,180,180,58,96,250,120,258,246,54,120,258,242,195,250,54,242,96,242,229,48,250,32,42,179,48,242,64,250,195,180,246,96,242,180,298,58,96,258,64,180,242,180,242,246,195,242,54,258,120,64,46,46,58,298,20,48,64,246,229,250,180,96,152,242,242,54,92,250,64,64,152,135,58,195,64,135,298,195,92,74,246,89,20,74,242,64,32,74,20,195,211,242,20,96,229,54,102,96,96,32,64,120,197,195,283,195,242,180,74,20,298,258,96,59,242,258,96
298,96,64,195,152,46,54,89,195,46,64,258,180,20,246,48,242,59,246,246,258,179,180,242,242,250,54,250,20,242,54,258,298,250,46,298,246,74,152,258,89,246,48,246,197,258,54,64,74,59,96,20,58,250,20,246,284,64,242,46,258,96,250,250,250,229,197,152,250,58,20,195,46,242,242,195,54,250,246,32,195,258,32,64,58,258,20,20,32,46,96,197,179,92,96,180,250,258,64,250,89,298,74,246,195,58,242,135,20,179,20,298,89,96,64,89,59,250,64,246,246,242,54,96,242,54,64,298,246,242,258,96,250,250,246,89,64,54,20,120,64,242,20,48,89,242,195,92,246,298,242,250,20,250,195,258,246,216,180,64,281,59,298,64,180,179,102,246,59,89,242,20,179,246,250,180,59,242,64,242,96,89,74,298,180,32,96,20,242,120,229,152,48,246,283,74,20,54,195,180,135,96,250,195,250,96,180,32,250,96,298,246,250,195,250,92,242,46,258,20,246,246,64,42,250,250,242,64,96,197,20,180,258,195,152,242,89,20,180,32,197,258,96,180,59,246,242,102,64,46,46,59,250,58,89,96,211,242,54,180,135,195,246,195,197,152,89,32,89,20,42,211,250,242,92,298,20,298,120,242,197,58,284,89,59,197,120,258,58,258,32,197,229,246,96,42,152,250,246,64,64,180,89,298,246,54,54,180,96,74,58,54,20,96,58,54,195,74,20,211,250,180,42,298,64,46,242,242,258,64,242,258,180,58,46,152,102,195,180,197,20,54,32,180,74,32,195,246,246,242,54,92,242,42,246,54,59,242,180,48,96,54,250,120,20,180,46,59,258,298,48,64,195,64,89,258,20,89,250,120,58,152,64,20,59,250,109,250,89,180,96,246,96,102,246,32,89,283,74,180,242,20,242,250,135,96,64,246,242,197,195,242,180,152,64,283,74,216,20,258,89,246,20,58,74,195,197,96,229,74,180,250,250,242,48,250,258,89,46,74,246,96,258,89,96,20,109,258,96,135,258,258,250,120,96,89,74,179,258,242,180,250,250,120,152,20,48,32,246,92,242,64,180,258,32,92,120,195,20,284,180,180,283,32,92,152,64,283,58,211,96,54,102,58,197,246,195,180,298
246,246,152,246,211,54,246,54,197,250,54,242,180,195,246,179,197,46,64,195,242,152,246,120,283,20,180,20,246,195,58,46,246,32,54,250,216,246,195,74,250,20,242,74,120,96,242,195,89,120,258,258,281,250,242,54,242,246,242,54,258,246,197,246,195,54,32,152,246,258,64,32,96,96,120,64,120,246,32,180,246,152,20,250,242,246,59,120,298,96,89,152,246,258,109,298,120,250,89,197,298,120,64,32,46,258,242,197,258,54,64,20,258,89,242,195,179,250,20,20,242,250,180,180,195,20,96,32,197,242,64,195,135,96,20,242,250,246,48,96,58,58,250,120,242,242,20,96,74,197,58,242,96,54,246,195,229,102,120,250,64,246,135,242,54,89,96,211,246,120,195,92,89,96,180,96,32,242,246,42,64,242,246,180,242,298,89,64,195,242,64,258,59,74,180,180,20,195,120,64,258,197,89,242,89,89,20,64,298,229,89,152,250,298,197,96,242,283,250,197,89,96,64,20,59,96,152,197,89,242,58,246,135,180,32,58,211,64,54,197,242,96,74,32,298,246,64,246,180,89,250,258,32,246,54,64,64,242,54,195,64,152,54,180,64,298,250,250,242,242,197,59,74,180,120,64,32,54,250,250,152,298,152,242,120,180,32,54,242,195,211,281,54,92,59,64,64,246,258,246,32,152,102,58,120,152,64,195,96,96,96,89,242,195,96,59,250,246,242,242,48,197,96,32,54,54,229,48,152,180,20,246,195,32,109,246,250,58,211,180,246,242,195,242,298,152,246,250,258,32,250,20,58,246,258,180,242,58,246,246,216,197,54,102,246,32,46,54,102,42,20,246,152,197,54,20,64,96,197,96,246,195,195,180,58,64,258,246,152,246,180,242,152,258,64,20,211,152,58,242,180,246,58,250,152,283,20,74,20,54,89,246,20,96,89,250,89,258,250,197,229,42,298,20,152,64,20,20,152,120,246,20,298,180,59,179,246,197,195,298,59,197,195,250,298,64,64,250,48,102,195,246,59,59,180,195,20,89,32,246,246,216,152,96,246,180,258,64,242,64,180,46,258,54,195,64,246,48,89,258,250,211,135,96,102,120,298,58,250,59,195,32,152,195,250,64,54,250,246
250,20,229,54,250,298,32,298,250,96,64,89,42,96,96,242,195,246,180,152,242,195,54,89,283,242,59,152,180,42,42,59,242,102,250,64,242,64,197,283,96,242,89,96,180,250,246,48,20,242,250,64,96,195,89,20,96,216,195,20,20,246,180,74,20,120,96,298,242,152,96,102,246,246,120,96,109,20,242,250,152,46,96,54,283,180,242,58,152,96,20,246,246,58,20,102,32,152,195,242,242,135,242,54,20,120,242,152,74,46,32,197,92,64,135,250,298,195,229,152,89,216,197,89,74,242,58,152,96,96,92,42,258,58,46,298,102,42,250,298,283,180,54,96,195,92,64,298,54,250,250,229,96,64,20,246,54,258,64,197,180,42,258,152,64,74,195,42,64,58,180,135,58,195,96,298,246,250,135,195,32,246,135,197,20,120,59,216,54,298,20,64,64,250,242,89,229,152,216,242,120,64,258,258,64,32,120,298,250,54,42,20,64,180,74,298,258,242,74,64,64,152,32,54,258,246,89,152,298,96,180,46,20,250,32,54,20,92,250,42,102,64,20,42,242,258,180,180,96,242,92,246,246,32,180,96,152,229,32,250,242,242,96,258,229,96,135,246,246,96,54,64,120,96,64,96,250,258,64,246,59,258,250,211,20,246,135,195,197,102,32,64,242,250,180,246,197,258,20,54,298,32,54,179,242,20,20,89,74,54,92,250,74,180,64,32,89,42,20,32,246,135,246,195,64,64,102,246,58,20,64,96,96,180,96,64,250,89,152,64,96,58,42,32,283,211,64,152,64,250,242,42,89,96,242,283,250,229,64,42,54,242,102,89,20,195,74,242,20,32,250,96,211,89,242,298,246,102,74,216,58,32,58,197,74,46,180,64,283,20,20,250,120,246,258,258,246,54,96,64,32,250,246,96,242,32,92,58,242,109,250,298,64,242,242,298,195,120,242,283,109,58,197,109,242,120,58,42,283,246,74,120,195,96,179,258,242,298,152,180,20,250,32,58,246,246,298,246,46,58,229,195,92,250,229,242,250,250,20,64,180,298,120,109,96,89,58,64,250,74,32,195,58,96,89,246,102,283,242,64,197,229,258,102,246,179,246,64,197,42,298,64,20,152,195,64,242,96,197
64,281,64,46,197,242,258,96,135,242,96,298,242,250,20,250,74,96,135,96,58,96,58,211,250,92,246,102,64,195,180,242,89,120,179,120,96,242,54,120,96,89,180,92,180,152,64,298,246,242,197,102,195,250,298,258,229,250,298,283,59,195,46,216,258,250,258,195,48,59,298,54,92,54,180,64,250,283,298,64,74,258,250,96,180,298,242,64,250,20,246,92,250,195,59,54,242,246,242,89,229,48,20,180,96,298,64,64,242,242,246,246,92,250,20,180,246,242,180,195,46,120,258,58,32,20,195,120,246,96,246,250,92,64,96,258,32,258,242,96,20,58,250,96,54,180,58,258,58,59,258,92,20,59,89,135,283,74,59,211,74,96,54,20,250,92,197,32,197,20,64,246,58,89,48,48,258,229,54,64,250,96,58,54,180,20,64,298,246,32,20,74,242,242,20,246,102,59,250,197,64,152,20,32,258,92,246,20,242,135,216,20,64,46,250,246,54,135,258,64,96,180,216,20,180,283,42,64,102,48,229,195,246,64,102,59,246,120,74,96,135,195,180,242,20,120,20,20,246,58,250,179,250,20,58,180,64,92,102,250,246,64,246,20,298,20,216,246,298,179,74,180,250,58,258,96,89,180,216,96,135,246,195,246,64,246,216,250,258,58,20,298,246,64,54,152,211,180,48,283,242,242,179,195,102,258,152,246,246,64,32,135,42,246,120,180,109,42,54,64,58,54,246,242,250,180,195,58,242,135,152,54,250,246,283,32,246,64,298,20,258,197,96,250,46,180,20,283,120,246,298,283,246,283,32,96,135,64,89,20,258,32,242,298,64,283,180,250,246,195,250,135,109,250,180,92,246,283,20,20,58,197,242,246,229,152,195,20,54,258,258,20,242,195,152,179,195,109,195,96,298,92,229,54,180,120,242,216,284,54,250,152,92,180,246,58,54,32,246,180,58,298,246,242,152,246,102,195,298,180,89,20,195,152,246,135,298,250,20,96,246,229,58,20,179,54,298,20,180,46,242,250,96,32,89,242,229,250,64,102,20,197,229,64,48,250,246,197,96,64,32,250,242,120,180,74,180,250,258,246,102,246,74,59,180,246,258,242,20,180,195,242,229,59,92,102,242,64,283
180,250,54,32,298,89,242,20,59,92,92,20,54,258,20,89,242,250,180,64,46,152,20,64,258,197,58,258,48,258,242,74,195,152,96,64,20,258,242,92,246,58,32,242,250,135,96,298,120,197,96,58,242,96,120,92,20,195,242,152,42,250,242,64,32,58,246,180,20,250,179,250,250,195,242,242,229,229,246,48,89,58,298,64,180,197,258,197,120,102,197,64,258,242,242,54,32,64,180,96,58,59,96,250,246,20,246,32,89,120,284,96,180,242,229,64,120,246,74,32,246,102,48,120,89,54,195,298,54,246,54,250,54,258,242,246,180,152,89,246,89,64,32,258,42,58,250,180,195,250,58,32,281,96,64,197,180,242,283,152,32,298,242,246,96,96,96,109,180,197,246,246,152,135,250,64,246,246,20,46,152,250,246,250,283,96,135,54,180,250,283,96,229,92,195,89,96,258,229,54,152,246,96,152,250,246,74,32,109,89,216,258,32,250,242,283,20,48,54,229,120,42,179,242,246,48,64,20,258,64,250,42,20,64,64,258,20,102,20,109,96,242,135,54,96,250,216,152,64,246,242,298,242,120,250,258,20,96,250,283,283,229,32,195,180,58,195,180,135,246,197,32,20,298,42,242,250,109,120,32,250,89,180,74,250,246,180,283,229,180,96,96,152,246,20,48,64,74,46,229,246,64,74,246,246,96,120,46,180,246,197,42,48,20,20,242,195,180,250,250,64,89,258,258,298,46,42,89,32,242,74,59,58,92,92,195,197,298,197,20,64,211,89,242,20,96,89,64,89,120,195,242,58,64,120,42,258,92,250,298,211,74,42,20,195,74,20,48,242,180,58,64,58,242,180,258,64,242,42,20,42,102,195,74,250,20,92,250,89,246,180,246,298,64,246,64,42,20,89,20,64,96,64,180,298,135,298,242,197,246,102,120,42,246,96,109,92,54,64,64,64,246,32,120,59,197,48,54,46,246,89,32,242,283,54,46,96,283,246,246,54,46,102,258,89,242,48,250,96,250,32,135,20,20,58,229,270,258,64,64,246,298,197,20,179,258,58,48,283,54,42,180,46,92,109,298,135,298,54,96,89,180,229,195,42,216,20,46,109,120,250,246,64,20,180,74,242,180,20
64,120,298,283,74,96,74,246,195,195,246,197,135,96,246,298,242,54,92,250,298,246,195,64,46,20,58,135,89,180,54,32,242,246,20,135,197,258,195,180,246,298,250,216,246,250,242,64,109,242,246,250,258,246,32,250,242,197,298,180,180,59,195,242,152,283,64,92,74,258,135,242,180,64,20,179,58,246,20,74,250,258,96,246,42,89,32,32,179,298,180,92,48,64,298,96,54,258,54,250,152,102,250,109,120,64,64,250,48,135,246,109,195,20,180,64,197,229,250,152,64,258,58,242,250,250,180,242,46,283,20,246,120,89,64,250,20,54,89,179,59,250,152,216,20,281,298,242,258,195,89,54,59,102,64,242,195,211,64,250,180,74,96,195,180,64,298,179,298,242,96,54,298,242,298,54,58,59,135,74,64,284,258,32,92,96,283,89,64,58,246,258,195,298,246,216,58,64,74,135,58,96,246,242,64,96,64,195,135,242,120,242,96,242,96,120,258,180,195,246,250,89,96,242,59,20,109,250,92,179,298,58,197,54,58,197,246,54,64,197,92,229,58,64,59,32,246,195,59,74,42,20,58,258,46,135,242,89,197,180,89,195,197,242,250,120,64,96,242,229,250,180,102,216,92,246,54,283,64,96,96,58,64,298,179,258,180,64,58,242,89,89,48,242,250,32,246,109,96,58,32,258,152,96,64,195,250,58,246,20,152,120,54,246,195,283,58,102,250,298,195,180,197,246,96,120,64,96,195,89,250,298,197,242,32,242,96,195,195,54,250,250,180,58,250,20,64,152,54,58,135,20,74,120,179,96,48,197,120,180,246,96,180,258,250,96,211,197,250,64,298,229,89,48,250,242,64,250,96,64,42,180,195,258,246,246,54,32,242,54,216,59,42,64,96,32,20,96,258,152,180,195,42,20,42,180,64,64,298,20,20,180,152,246,180,250,89,258,48,250,96,179,258,64,20,102,96,250,242,20,54,258,242,180,298,54,197,32,152,246,284,298,20,20,42,195,32,242,250,283,96,250,246,46,74,96,180,298,152,58,58,246,197,32,120,58,179,180,64,54,89,298,96,180,211,48,179,58,298,211,32,20,46,32,258,250,195,195,250,180,246,96,74,250,283,96,298,195,246
152,258,120,242,242,195,258,298,96,32,74,195,54,54,64,59,242,58,242,246,92,120,58,246,42,152,298,242,246,96,64,48,102,250,120,74,258,229,109,92,246,216,258,54,59,20,258,180,258,180,242,120,258,180,20,89,242,89,197,258,180,20,180,20,246,64,135,195,246,242,64,96,229,250,64,32,96,74,242,64,96,180,246,246,298,246,152,258,42,242,48,32,89,20,180,250,120,92,89,32,283,195,258,89,46,58,58,242,152,32,298,152,20,89,20,48,58,242,54,242,20,64,64,89,250,152,64,242,180,180,64,246,59,64,96,195,250,20,135,96,20,242,54,92,246,250,64,74,74,216,195,258,195,109,120,250,42,195,20,229,42,54,246,89,242,250,102,195,92,48,195,64,250,96,242,74,284,195,20,242,258,242,246,58,109,180,242,58,96,46,42,197,102,20,246,246,48,20,298,195,246,250,48,102,250,298,298,96,195,102,246,298,195,58,64,246,298,283,216,242,20,32,120,197,246,58,54,283,197,258,195,242,197,89,250,42,180,283,197,42,242,216,152,242,246,180,54,250,64,54,96,102,109,96,195,195,246,135,242,58,246,20,96,242,64,197,54,54,109,246,242,54,152,42,298,246,258,58,96,197,250,96,298,89,298,197,246,195,20,152,195,246,195,58,102,298,250,180,152,20,92,298,197,283,180,20,109,89,64,216,58,229,92,180,20,120,96,246,120,229,46,242,246,58,20,242,250,258,64,258,197,180,258,179,20,54,89,135,180,242,180,246,32,102,54,246,64,64,58,109,258,258,96,250,89,229,64,92,195,246,96,92,197,242,195,120,242,258,89,20,258,283,298,96,96,64,120,74,32,152,258,64,64,298,242,258,195,32,96,229,135,152,180,246,59,20,54,242,152,250,242,64,54,242,89,20,195,64,246,58,298,250,283,74,195,20,64,64,89,58,20,298,195,250,96,180,246,258,298,32,250,180,74,258,180,64,96,89,242,64,120,258,120,32,246,59,246,32,246,135,89,89,96,258,58,54,180,54,96,64,96,250,120,180,242,246,89,20,89,74,74,242,250,54,20,64,242,20,250,64,89,74,179,64,89,42,246,32,180,109,298,135,64,96,109,246,96,96,195
197,96,298,211,20,180,258,64,64,120,281,120,152,58,250,197,96,242,64,32,102,298,246,42,180,250,242,64,246,32,242,180,250,180,246,197,32,54,180,298,258,64,48,96,211,54,242,195,180,120,152,250,64,135,270,298,96,96,120,96,195,64,246,197,258,64,96,180,246,54,250,58,246,54,258,197,258,96,92,246,58,20,246,92,179,96,195,246,250,64,216,54,195,246,20,246,32,64,58,250,96,64,242,242,96,58,250,242,298,32,180,250,195,246,20,20,246,180,89,120,250,96,197,46,197,197,298,242,20,197,89,64,58,242,120,242,242,250,180,180,242,211,89,74,64,96,120,54,246,246,64,298,242,58,96,89,258,46,58,74,246,32,180,74,152,74,135,102,180,152,246,59,197,197,64,20,242,109,20,58,20,54,180,242,20,64,20,298,250,20,120,152,64,64,250,109,59,242,246,32,242,74,48,20,42,64,58,64,32,20,180,246,42,120,298,197,64,246,96,92,180,246,58,20,96,250,54,74,283,258,48,46,250,54,96,74,250,250,96,64,246,258,64,20,32,180,89,102,58,216,20,195,152,298,250,58,246,258,250,250,135,229,92,180,120,64,258,258,109,211,74,74,64,64,180,20,135,54,246,242,89,246,96,54,242,246,20,197,195,64,120,96,120,180,242,216,180,58,54,242,242,180,20,89,20,258,64,42,180,242,54,64,96,242,59,64,96,242,58,102,96,32,250,89,120,246,298,216,152,242,211,216,246,48,246,246,64,96,64,96,32,250,242,54,283,48,180,216,246,250,152,58,250,54,180,283,54,54,74,32,242,242,64,242,250,246,298,64,32,195,246,246,48,20,96,298,197,246,298,180,109,195,20,96,197,250,64,258,46,242,64,246,58,58,96,246,120,298,64,32,74,258,246,250,46,250,258,242,96,20,250,242,64,246,20,32,298,246,152,96,250,242,197,250,42,229,46,58,229,89,42,109,102,64,92,246,250,135,96,246,242,64,42,96,64,64,20,120,298,96,258,64,242,258,152,250,246,197,211,197,89,258,46,74,58,246,242,96,216,246,246,152,250,246,197,42,180,92,58,258,180,195,246,92,242,242,298,74,120,258,242,242,54,54,242,197,283,58,96
246,64,242,120,54,102,58,179,64,64,250,20,89,58,92,258,152,59,195,283,195,20,54,211,96,102,195,250,54,89,102,96,20,58,74,64,298,246,54,64,64,20,32,42,92,120,96,42,246,250,20,64,48,46,58,250,109,58,195,74,246,96,246,250,20,242,32,197,250,20,32,96,180,250,195,242,58,135,195,152,32,270,135,46,120,20,74,89,242,216,250,64,54,242,242,211,298,58,242,54,246,246,229,242,250,180,89,242,250,250,246,54,96,64,64,211,74,32,58,59,74,250,180,48,195,74,298,246,54,46,89,246,180,180,298,246,216,242,20,246,246,298,246,197,135,242,197,180,48,180,242,180,152,32,89,96,246,180,59,258,120,298,195,58,48,242,64,96,96,152,250,120,102,258,242,180,64,180,195,246,64,64,298,229,46,180,74,195,246,152,32,58,20,20,246,96,242,229,197,92,250,246,180,89,242,54,250,20,250,89,64,20,195,89,74,96,229,258,20,250,195,20,102,179,242,92,74,54,180,120,211,20,64,64,32,92,96,180,32,54,54,120,250,96,242,64,242,96,250,250,20,195,64,42,246,96,152,20,64,242,58,195,298,180,250,246,120,109,96,20,229,246,32,64,242,197,120,246,92,246,32,229,102,242,89,250,46,54,246,102,298,54,59,32,242,246,64,20,64,54,298,195,211,54,246,59,242,32,152,54,258,179,195,64,298,74,246,250,42,64,92,74,102,20,258,180,246,58,120,74,20,46,258,246,180,135,242,298,20,102,242,74,74,211,135,32,246,96,229,195,20,246,64,242,246,58,242,250,54,298,64,102,152,283,180,42,250,246,20,246,242,197,58,242,64,246,258,120,152,246,250,48,120,242,250,180,92,246,48,250,180,246,74,250,250,258,32,135,195,250,250,96,179,58,242,180,258,58,246,229,20,42,102,120,96,179,152,92,180,246,242,246,246,180,152,197,195,32,64,197,246,64,250,250,180,250,64,20,197,258,64,74,96,135,89,152,246,58,92,197,74,246,298,242,242,250,64,92,32,250,58,42,180,298,283,298,64,180,242,242,96,195,64,74,197,46,32,180,20,242,246,74,242,250,20,59,109,246,20,58,64,195,152,59,246,250,20,46,298
