V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121,V122,V123,V124,V125,V126,V127,V128,V129,V130,V131,V132,V133,V134,V135,V136,V137,V138,V139,V140,V141,V142,V143,V144,V145,V146,V147,V148,V149,V150,V151,V152,V153,V154,V155,V156,V157,V158,V159,V160,V161,V162,V163,V164,V165,V166,V167,V168,V169,V170,V171,V172,V173,V174,V175,V176,V177,V178,V179,V180,V181,V182,V183,V184,V185,V186,V187,V188,V189,V190,V191,V192,V193,V194,V195,V196,V197,V198,V199,V200,V201,V202,V203,V204,V205,V206,V207,V208,V209,V210,V211,V212,V213,V214,V215,V216,V217,V218,V219,V220,V221,V222,V223,V224,V225,V226,V227,V228,V229,V230,V231,V232,V233,V234,V235,V236,V237,V238,V239,V240,V241,V242,V243,V244,V245,V246,V247,V248,V249,V250,V251,V252,V253,V254,V255,V256,V257,V258,V259,V260,V261,V262,V263,V264,V265,V266,V267,V268,V269,V270,V271,V272,V273,V274,V275,V276,V277,V278,V279,V280,V281,V282,V283,V284,V285,V286,V287,V288,V289,V290,V291,V292,V293,V294,V295,V296,V297,V298,V299,V300,V301,V302,V303,V304,V305,V306,V307,V308,V309,V310,V311,V312,V313,V314,V315,V316,V317,V318,V319,V320,V321,V322,V323,V324,V325,V326,V327,V328,V329,V330,V331,V332,V333,V334,V335,V336,V337,V338,V339,V340,V341,V342,V343,V344,V345,V346,V347,V348,V349,V350,V351,V352,V353,V354,V355,V356,V357,V358,V359,V360,V361,V362,V363,V364,V365,V366,V367,V368,V369,V370,V371,V372,V373,V374,V375,V376,V377,V378,V379,V380,V381,V382,V383,V384,V385,V386,V387,V388,V389,V390,V391,V392,V393,V394,V395,V396,V397,V398,V399,V400,V401,V402,V403,V404,V405,V406,V407,V408,V409,V410,V411,V412,V413,V414,V415,V416,V417,V418,V419,V420,V421,V422,V423,V424,V425,V426,V427,V428,V429,V430,V431,V432,V433,V434,V435,V436,V437,V438,V439,V440,V441,V442,V443,V444,V445,V446,V447,V448,V449,V450,V451,V452,V453,V454,V455,V456,V457,V458,V459,V460,V461,V462,V463,V464,V465,V466,V467,V468,V469,V470,V471,V472,V473,V474,V475,V476,V477,V478,V479,V480,V481,V482,V483,V484,V485,V486,V487,V488,V489,V490,V491,V492,V493,V494,V495,V496,V497,V498,V499
96,20,48,152,120,117,180,180,128,151,216,211,40,117,102,152,138,250,180,180,211,281,281,135,59,120,109,227,250,250,195,179,109,46,102,170,211,216,203,229,120,216,197,180,133,216,179,197,298,270,151,74,152,96,152,96,180,96,250,298,246,152,242,46,164,152,89,89,133,64,180,152,195,211,54,205,138,109,96,152,242,180,258,197,270,219,279,299,284,267,242,289,128,195,242,246,273,96,211,250,180,164,197,205,205,229,197,246,273,229,250,211,152,164,117,135,219,242,164,128,205,171,273,96,135,229,151,152,273,250,216,242,265,195,273,285,285,242,152,242,246,289,96,195,164,138,250,211,151,180,195,246,203,180,229,246,180,285,299,242,281,287,219,197,195,92,39,102,48,64,195,195,164,102,117,109,64,179,273,273,283,219,102,229,211,250,270,195,229,246,48,46,180,96,216,74,120,4,14,74,64,92,180,152,128,102,195,211,258,216,229,273,297,229,170,120,151,152,242,180,180,273,242,246,242,135,195,171,138,89,211,195,216,164,64,170,96,180,211,96,151,281,242,246,265,250,284,102,216,120,229,281,219,281,246,250,120,242,258,128,180,89,133,219,250,216,273,152,54,20,32,89,211,229,242,135,120,195,179,180,64,180,195,212,250,246,197,195,258,96,42,32,96,133,151,242,64,144,291,283,242,289,298,291,211,211,195,74,195,180,102,211,197,195,120,89,135,8,20,46,216,180,32,64,195,22,64,46,54,8,58,74,79,120,164,179,152,242,102,242,246,144,4,270,229,96,133,242,216,64,135,258,216,170,205,58,102,135,151,152,120,128,109,40,109,205,74,152,170,152,96,18,164,54,92,219,246,298,299,242,135,246,250,279,242,212,242,246,219,152,128,180,20,180,193,180,120,117,144,96,205,74,151,64,180,96,128,128,180,197,273,250,283,144,195,294,291,152,109,229,197,229,250,89,195,96,54,270,281,270,180,164,219,246,180,96,64,96,258,242,135,133,197,283,170,151,258,267,298,283,246,265,180,151,212,151,258,179,273,128,152,96,138,96,64,120,64,211,265,120,117,180,135,96,128,64,258,195,180,197,117,151,229,246,270,246,258,258,216,211,42,64,265,246,246,128,109,96,32
164,120,96,96,96,227,258,250,250,250,265,102,151,54,135,179,152,242,205,109,246,246,120,92,152,117,128,219,246,96,64,64,6,20,144,54,151,152,258,180,219,205,120,120,229,205,152,242,281,284,229,144,92,24,74,74,180,180,96,242,250,180,117,180,120,102,216,92,120,64,135,250,74,193,216,242,242,246,212,229,258,195,281,273,285,258,283,281,298,284,258,246,283,283,265,258,283,195,246,284,180,96,246,151,258,242,270,242,283,242,152,193,265,242,287,250,216,281,195,135,179,152,211,284,250,242,298,229,229,246,281,281,283,299,283,250,298,120,144,135,180,151,144,120,58,74,96,151,219,197,193,211,179,205,282,211,250,298,216,250,289,290,212,179,96,89,64,58,92,211,242,242,285,96,64,180,250,216,205,265,246,229,211,152,229,135,298,275,216,267,102,152,180,89,64,152,195,46,54,48,20,120,246,152,135,109,46,203,246,197,195,250,242,216,152,109,151,120,246,270,246,283,195,242,195,164,120,152,180,242,120,283,180,242,152,258,42,102,152,195,229,193,258,242,89,283,267,298,170,205,102,242,273,289,281,242,180,151,219,250,299,267,258,229,283,246,242,120,64,46,8,64,205,135,273,152,171,197,135,229,219,250,246,270,291,229,144,265,216,144,32,58,42,109,135,135,64,258,298,284,197,298,289,281,242,197,212,258,216,242,109,195,203,54,58,20,54,40,195,102,109,195,20,39,8,79,152,92,180,32,39,89,74,32,96,64,96,120,96,242,179,96,120,32,42,54,58,74,133,120,229,195,151,120,89,48,74,74,135,128,180,64,180,74,64,48,46,64,197,211,242,250,258,152,195,180,258,270,250,242,229,270,242,273,270,205,283,211,216,211,180,265,79,197,109,211,242,284,152,197,211,180,20,152,216,135,138,120,195,270,299,242,270,250,246,284,180,179,96,96,149,152,64,164,138,180,135,229,250,246,246,205,250,250,135,250,195,151,135,180,135,216,180,250,289,250,285,265,298,291,197,180,242,109,128,195,246,195,242,170,135,64,117,144,92,58,89,89,195,96,135,102,64,144,152,151,180,133,120,197,195,211,109,273,273,283,285,250,197,246,211,120,258,179,195,96,211,89,135
180,171,246,179,180,246,291,273,179,242,152,133,135,164,179,120,219,128,205,135,250,250,96,89,64,74,74,180,133,117,54,216,32,32,195,216,64,180,195,195,242,283,212,227,291,298,242,246,195,246,229,120,242,96,42,120,170,164,96,109,250,242,64,96,58,151,170,152,128,120,135,242,242,270,273,283,281,246,270,298,298,258,267,211,283,270,270,273,291,298,216,287,298,195,283,242,211,109,265,270,283,270,135,250,216,267,250,284,195,117,135,135,258,197,270,135,229,242,242,270,144,216,205,227,195,246,242,294,275,211,267,285,273,291,267,281,267,246,229,283,265,180,120,242,92,64,96,117,74,96,195,216,164,229,211,246,258,267,120,250,229,258,242,96,179,117,89,4,42,258,195,128,216,242,92,211,164,74,246,144,195,180,242,195,298,265,219,120,284,246,270,258,205,20,64,195,170,180,20,54,58,96,135,109,246,242,152,92,180,219,227,152,164,64,79,135,59,120,195,152,96,216,195,151,180,152,74,54,102,135,180,246,180,258,197,180,64,195,180,284,179,195,216,211,273,246,275,216,219,179,180,270,219,216,242,250,246,284,270,283,250,258,275,242,128,46,120,74,151,54,74,144,128,180,284,270,265,180,246,258,285,291,250,258,164,246,195,242,179,284,135,58,102,179,195,197,180,281,299,289,273,298,284,283,281,242,283,270,246,242,250,180,211,59,32,133,74,96,120,128,179,197,20,8,24,4,20,15,74,89,54,179,152,64,46,64,54,195,96,152,96,64,128,81,120,74,164,32,54,151,246,195,179,180,102,32,32,22,20,164,195,42,135,96,58,144,229,128,164,258,180,109,135,20,180,197,219,197,250,117,258,212,229,242,135,242,250,74,96,211,64,64,42,195,92,250,283,242,151,152,81,258,128,120,170,135,96,151,92,120,273,242,258,281,291,242,120,180,246,135,219,164,120,258,284,258,242,197,229,250,180,152,92,229,151,180,96,20,133,180,42,205,216,242,242,229,283,242,179,242,203,270,216,229,195,102,170,197,193,180,58,74,128,216,102,89,96,197,193,102,120,109,4,64,120,20,152,246,135,96,135,197,96,227,195,246,284,287,284,229,258,96,54,74,197,109,58,64,89
229,197,258,242,152,242,170,270,171,144,74,58,54,144,135,109,152,219,180,229,216,273,197,246,133,96,120,197,58,195,20,152,32,58,258,180,216,283,211,197,229,250,270,298,297,290,298,258,219,180,133,179,74,54,54,117,250,151,54,120,144,58,46,96,64,54,48,152,180,246,242,197,267,246,180,281,246,205,273,197,283,219,258,242,197,152,171,229,273,258,151,229,284,229,128,219,216,284,246,242,229,283,250,246,229,164,180,246,216,120,79,170,64,203,246,250,275,195,197,179,195,211,197,246,242,216,289,291,283,279,273,294,291,298,298,281,250,250,270,242,74,179,152,164,79,20,216,164,152,270,242,250,284,242,242,242,180,246,273,283,250,242,246,216,180,229,96,135,32,64,152,96,216,242,242,135,64,74,74,117,164,135,203,180,273,242,250,258,216,180,283,242,242,179,273,74,152,89,195,117,46,197,135,151,180,197,170,170,171,229,258,270,92,74,242,46,120,133,195,135,180,179,164,135,96,180,117,128,211,64,151,96,211,229,284,151,89,205,246,152,229,180,250,219,287,298,250,258,281,270,275,258,242,195,246,211,285,258,283,283,229,287,298,246,151,89,96,96,180,170,89,179,120,229,242,197,179,246,250,283,273,283,267,242,151,246,120,170,120,180,117,120,205,211,133,246,287,298,250,287,283,273,299,284,273,246,195,195,197,120,229,229,180,64,20,32,12,20,74,64,117,20,58,42,4,109,20,42,32,46,18,20,20,79,81,64,152,109,74,32,54,20,42,64,54,32,96,151,197,109,197,180,250,117,152,54,32,4,20,96,242,128,120,96,197,42,151,96,180,246,283,205,54,151,170,242,246,229,180,258,216,219,267,289,246,211,179,180,120,120,135,144,74,152,144,152,258,270,195,96,102,180,180,179,180,229,102,152,246,205,180,258,258,197,151,216,89,133,170,64,135,151,246,246,285,179,152,242,195,246,229,281,273,219,211,242,229,120,152,246,229,195,152,211,298,195,270,246,96,152,96,229,275,283,250,135,152,152,195,14,42,64,135,120,54,133,135,109,59,39,20,64,4,14,74,89,20,42,58,120,229,180,242,229,250,275,284,291,298,219,273,135,74,120,250,242,180,96,120
195,270,242,195,258,246,197,281,267,180,6,14,117,128,144,96,180,195,281,242,258,242,291,281,229,89,151,135,152,64,128,74,128,152,92,246,284,298,151,216,246,258,170,258,195,246,250,179,133,89,89,250,179,281,246,144,92,58,20,59,32,4,59,96,64,96,152,120,197,96,216,246,133,219,58,197,195,135,120,135,151,135,246,242,197,197,170,246,246,250,128,195,195,205,250,211,246,152,152,281,275,284,242,151,164,197,152,151,74,171,195,128,211,96,117,246,195,151,246,216,229,246,258,180,250,279,246,258,289,298,287,180,250,229,211,283,284,242,283,152,151,96,180,120,42,32,20,152,180,89,227,151,180,284,250,212,229,246,270,281,180,96,216,195,197,135,89,58,74,39,180,151,229,219,135,151,152,40,164,180,64,171,195,258,246,135,205,179,197,195,273,250,258,250,219,180,96,58,179,171,89,219,109,64,250,58,102,128,258,246,285,180,96,195,152,74,54,64,164,58,205,144,74,42,64,54,120,152,89,32,144,54,96,273,211,195,40,128,151,120,20,96,205,195,246,195,267,242,285,287,242,258,152,211,195,229,298,284,279,289,265,229,291,135,48,138,151,205,205,54,120,164,171,242,258,246,242,246,195,289,298,284,242,197,283,287,164,246,151,219,152,246,180,197,180,211,285,281,289,294,281,283,242,285,267,284,152,96,117,120,151,128,58,128,4,18,6,46,96,89,32,32,96,6,32,54,42,32,32,24,20,20,42,59,109,109,32,14,64,20,20,4,89,64,24,79,20,20,39,96,96,48,180,102,64,20,42,54,64,89,152,96,128,152,152,48,54,216,242,246,180,144,6,152,180,120,92,287,270,298,246,219,298,273,281,216,128,216,242,133,246,151,54,89,74,20,74,180,273,152,42,180,219,273,109,54,96,120,197,242,216,96,135,133,170,151,152,152,195,170,197,298,195,258,242,164,96,128,270,250,270,258,290,246,195,285,229,242,120,59,109,151,195,283,270,298,246,284,242,250,120,216,281,285,211,64,151,96,152,54,46,20,54,180,20,135,135,64,46,24,32,20,20,8,39,20,32,96,242,180,128,171,170,216,294,242,197,287,298,285,195,180,211,216,227,284,227,180,58
193,287,135,195,180,151,133,164,135,64,42,32,180,102,46,39,64,211,180,170,152,246,242,270,258,219,20,92,96,195,250,120,74,120,197,258,281,229,242,205,197,216,46,120,180,180,120,152,74,89,135,40,32,151,135,152,32,133,74,58,92,8,32,74,74,195,242,195,216,128,89,109,170,197,120,152,195,180,64,109,246,195,195,229,197,250,258,265,96,180,246,135,219,152,250,197,203,246,216,242,298,281,246,242,128,211,135,89,152,109,152,179,195,179,197,117,227,180,120,96,135,229,219,195,267,273,197,229,298,279,285,281,179,216,242,242,246,283,258,246,180,117,144,54,4,96,151,102,102,64,109,89,250,283,298,246,144,109,242,211,133,120,152,250,250,195,74,20,48,48,117,58,133,135,96,117,170,74,180,229,102,152,246,180,258,265,195,195,152,203,219,138,96,180,246,205,120,216,64,102,92,120,96,195,216,96,135,179,216,270,246,227,267,179,246,242,96,128,74,81,180,109,74,32,120,42,120,18,46,64,216,216,152,133,195,171,64,120,195,92,151,195,120,205,89,128,229,258,250,229,229,164,54,246,170,229,273,229,195,281,285,298,281,298,102,152,197,179,180,102,102,152,211,250,211,135,246,216,120,298,299,242,283,258,229,197,170,242,229,246,258,152,216,242,211,180,152,203,284,294,285,246,270,258,299,211,195,117,180,64,48,32,74,64,14,20,24,58,102,152,74,120,74,120,22,14,20,4,8,42,20,64,40,59,8,20,89,58,8,6,46,6,20,42,11,11,8,20,6,32,219,32,96,81,211,20,120,170,246,250,216,195,180,180,179,170,180,164,102,89,120,96,20,144,152,246,135,135,195,284,242,273,152,246,289,246,229,250,246,284,242,197,20,92,135,64,89,96,152,117,219,128,20,117,54,96,246,120,170,242,242,195,195,152,152,102,258,246,135,180,216,242,298,250,152,211,219,120,246,212,164,258,294,284,258,211,250,283,197,179,152,195,246,250,180,289,258,291,298,195,180,219,281,242,258,179,216,170,128,96,32,24,46,79,170,89,180,20,74,20,54,8,22,6,46,20,32,152,212,219,120,117,193,246,283,246,281,290,298,283,246,216,195,242,170,242,285,219,211
152,246,250,229,89,246,120,152,242,117,89,133,135,58,42,48,32,197,242,152,180,152,120,54,242,96,179,117,74,152,195,135,42,74,144,58,120,281,242,281,258,152,120,109,102,216,152,197,211,79,64,48,39,211,64,8,22,152,197,179,74,22,74,74,144,179,205,135,212,96,96,42,164,151,283,164,270,298,216,211,284,211,109,152,195,258,281,298,283,250,120,242,180,96,229,219,135,287,242,120,242,287,270,64,120,133,229,246,195,64,180,284,170,109,229,102,128,283,216,179,96,135,171,258,229,250,284,299,211,179,180,242,270,250,273,152,197,273,273,283,258,275,102,120,54,109,117,74,180,180,96,203,229,291,180,179,229,195,197,79,42,109,102,205,96,197,89,8,64,20,64,74,20,42,180,46,117,96,74,195,79,22,152,250,211,242,197,164,170,211,242,246,135,152,216,151,242,242,135,74,152,246,219,144,250,120,246,171,135,216,284,242,242,195,197,258,180,197,22,46,64,152,92,89,20,64,40,96,32,74,109,102,170,197,74,109,96,96,152,242,193,242,284,298,109,229,135,246,281,258,246,229,152,144,180,179,242,170,216,135,120,180,279,287,179,195,211,197,120,152,195,180,197,229,151,152,133,117,270,291,291,281,246,117,195,212,152,242,250,197,291,135,242,250,258,195,170,246,258,284,270,287,265,275,258,246,250,258,180,92,54,46,48,135,24,32,64,195,205,258,212,170,144,102,4,4,46,64,5,11,14,128,32,14,48,24,22,18,22,54,32,32,18,22,2,2,4,20,40,4,32,54,152,109,64,22,164,229,265,219,298,180,64,164,117,128,151,170,203,92,120,135,89,211,258,298,250,180,281,291,298,285,299,284,291,283,258,205,291,270,211,120,20,102,212,152,92,117,195,74,135,32,74,96,109,152,179,298,250,285,281,283,291,227,203,74,144,96,246,216,152,180,267,270,250,242,170,117,180,151,219,242,297,291,298,298,281,180,246,180,229,120,242,284,250,273,246,299,283,242,135,273,250,281,179,246,246,242,197,20,20,64,4,195,96,32,46,128,58,4,42,48,92,74,20,42,54,197,242,180,216,246,89,211,229,219,270,195,289,284,287,298,265,180,291,291,281,216,229
216,284,281,219,96,195,46,120,89,58,211,195,74,120,89,42,42,120,48,64,258,58,20,120,197,152,211,120,216,180,250,180,128,211,197,74,96,250,96,195,242,180,92,59,152,92,42,89,6,96,46,6,20,58,120,89,151,180,135,120,14,39,180,58,89,120,133,195,179,180,102,170,117,275,291,242,179,242,229,250,242,205,170,164,250,128,242,195,120,258,216,180,195,246,216,242,58,227,273,246,250,195,250,205,144,170,197,216,180,211,58,242,180,242,246,242,242,250,265,180,74,216,179,246,195,298,281,211,242,281,246,258,246,205,258,120,171,250,281,242,281,180,109,64,195,152,64,144,180,120,128,242,219,170,152,195,152,242,195,89,128,64,212,152,171,120,96,64,64,8,40,96,46,120,58,152,96,92,20,135,46,8,120,54,135,193,180,216,246,195,283,120,164,195,219,64,205,179,180,135,59,151,152,54,216,195,284,211,246,250,211,195,117,128,102,138,89,48,14,96,120,128,20,152,96,96,92,46,20,20,39,74,96,32,32,152,96,64,180,246,284,211,117,227,128,144,96,180,242,283,265,179,151,144,216,242,216,180,216,64,164,171,216,250,180,120,258,205,180,170,250,270,246,179,216,152,258,258,270,250,283,258,265,242,250,273,267,179,265,283,180,246,195,246,291,270,299,287,291,283,229,242,267,246,298,246,250,179,109,64,42,24,89,152,152,32,32,89,180,120,117,64,195,20,8,20,96,58,6,14,20,20,15,22,24,96,5,4,20,11,24,4,6,24,6,4,14,6,8,20,179,133,270,242,242,102,195,180,284,242,283,246,120,135,164,135,20,144,250,133,64,170,42,195,180,250,283,273,273,284,246,246,298,270,258,195,151,180,120,195,152,135,120,109,180,128,170,195,229,135,128,128,180,195,197,195,242,135,219,246,219,151,96,133,229,179,59,180,96,96,135,102,246,229,211,275,205,250,120,216,193,250,242,281,287,250,281,283,258,246,246,180,242,273,152,229,291,287,285,258,281,219,197,242,246,211,152,180,133,135,58,54,58,64,96,14,59,20,32,79,96,54,102,152,109,58,197,195,250,211,216,180,74,120,179,283,285,242,250,279,180,197,152,152,242,246,258,281,283
164,273,180,120,197,64,64,40,20,64,179,96,180,59,74,20,64,117,195,135,54,89,179,205,180,250,246,258,242,197,120,96,170,179,246,64,164,250,216,74,242,42,96,96,54,195,151,96,180,135,64,15,20,180,170,179,151,96,58,15,64,4,96,54,102,152,96,48,180,144,197,152,246,242,96,92,96,291,282,250,96,46,227,42,117,120,170,250,96,128,242,258,120,270,250,211,258,281,270,128,179,135,246,152,195,258,246,250,267,250,242,96,281,267,273,203,250,242,197,64,89,64,216,298,197,242,258,283,298,216,298,298,211,229,180,246,152,180,216,195,258,229,135,102,128,164,42,120,135,258,195,197,171,179,197,135,151,135,195,151,120,32,102,20,79,64,117,32,117,22,109,164,128,197,89,246,273,128,89,58,58,211,20,64,96,151,195,279,284,195,212,128,109,216,117,89,211,133,152,216,54,89,64,64,179,242,281,195,135,242,246,120,89,195,229,180,128,58,20,64,39,22,32,20,102,54,109,109,24,8,64,42,40,54,96,14,64,179,279,179,246,203,246,284,219,211,180,275,250,284,216,64,152,74,205,250,120,128,135,120,151,246,242,284,246,180,246,164,250,298,283,298,242,258,270,211,283,195,250,284,298,284,298,195,219,246,258,246,270,281,250,242,284,291,299,281,281,291,298,285,287,250,128,284,273,135,283,74,179,135,152,74,54,20,96,152,96,250,246,180,180,135,20,54,20,24,216,40,54,152,120,20,39,32,151,74,20,11,14,32,24,20,4,24,5,12,4,18,18,24,74,96,180,229,267,195,229,152,294,242,270,197,195,179,135,242,195,135,128,96,74,96,151,258,284,246,267,275,242,270,242,275,258,250,281,246,242,180,242,216,180,170,120,211,242,164,102,144,270,250,152,89,120,197,287,281,180,229,250,197,179,170,96,216,216,242,102,64,89,32,74,246,250,193,281,282,287,299,242,180,298,283,285,273,273,267,270,275,250,299,283,250,270,285,180,180,195,273,284,289,294,229,246,242,258,298,128,96,135,120,46,42,74,6,20,48,42,39,89,102,64,120,246,229,151,287,170,193,179,102,109,96,197,152,273,298,195,246,291,250,242,273,242,164,258,273,151,250,242
170,171,179,195,180,96,20,8,6,64,20,164,96,120,59,22,32,20,59,58,242,170,144,242,128,128,246,180,219,64,39,246,195,133,258,117,46,58,32,128,89,133,151,144,164,89,54,120,203,117,96,11,151,151,180,120,102,152,54,18,96,64,135,40,164,195,117,74,96,152,64,164,258,205,195,195,242,250,258,170,64,135,135,96,152,195,32,96,151,89,180,152,197,96,92,180,195,152,109,96,258,170,180,273,246,229,135,179,205,180,164,246,283,287,216,258,246,250,258,135,211,128,152,195,171,179,258,284,246,258,273,281,283,242,203,164,89,242,289,229,120,242,180,46,96,151,64,164,96,197,216,117,20,64,211,58,96,64,180,96,135,74,74,46,92,96,32,54,216,152,151,117,96,164,135,120,135,152,22,32,54,32,89,96,128,152,205,229,270,242,211,171,120,195,32,92,152,64,229,219,102,96,242,89,229,197,291,283,216,258,229,117,164,152,96,135,64,135,120,20,42,64,20,58,64,151,117,74,42,22,20,48,117,180,74,58,42,211,258,250,273,258,250,211,216,216,180,246,250,281,197,246,298,219,284,205,197,152,152,144,46,96,250,211,246,283,219,270,152,258,229,273,242,180,197,283,267,281,284,284,285,299,298,290,291,281,283,242,195,179,273,282,275,283,298,298,298,282,294,298,242,246,211,246,229,152,270,96,89,42,246,96,89,22,96,180,92,152,229,170,42,54,151,74,96,242,135,212,151,48,46,54,74,11,42,32,22,8,8,48,5,20,22,14,5,20,11,14,11,20,20,151,227,120,250,250,128,170,135,216,267,285,275,195,89,79,216,138,195,151,180,229,270,216,299,284,281,96,250,273,242,151,195,281,270,283,152,246,193,96,135,135,197,211,179,180,203,164,246,120,229,96,128,180,258,242,229,180,258,216,152,152,180,246,152,197,179,96,242,152,152,151,281,275,298,284,283,273,246,291,265,265,211,283,275,299,281,229,265,270,283,298,211,299,289,298,294,284,284,291,298,298,298,211,291,205,96,180,180,96,54,96,109,32,92,64,32,79,42,195,216,216,229,152,205,205,120,219,92,164,246,193,242,258,283,258,265,197,265,219,250,258,120,195,180,180,195,250,246
